id,fy_year,Taxable_Income_percentile,avg_tax_rate,avg_tax_bill,total_tax_bn,min_income,max_income,avg_income,facet,Financial year ending,label
Budget2018,2027-28,81,0.269,32079.0671364985,5.272,117507,120716,119080.079005935,Budget 2018,2028,
Budget2018,2027-28,82,0.271,33230.1379821959,5.461,120716,124129,122408.448071217,Budget 2018,2028,
Budget2018,2027-28,83,0.274,34454.7964404894,5.664,124129,127852,125968.108268446,Budget 2018,2028,
Budget2018,2027-28,84,0.276,35787.2414688427,5.881,127854,131859,129828.131676558,Budget 2018,2028,
Budget2018,2027-28,85,0.278,37186.7538005191,6.113,131859,136091,133884.267704857,Budget 2018,2028,
Budget2018,2027-28,86,0.28,38725.6320474777,6.364,136093,140617,138346.09235905,Budget 2018,2028,
Budget2018,2027-28,87,0.282,40354.9017062315,6.632,140617,145580,143065.254451039,Budget 2018,2028,
Budget2018,2027-28,88,0.284,42161.0081572117,6.931,145580,151145,148305.47793845,Budget 2018,2028,
Budget2018,2027-28,89,0.287,44142.4525222552,7.254,151146,157164,154047.730341246,Budget 2018,2028,
Budget2018,2027-28,90,0.289,46400.6358917316,7.628,157166,164182,160594.307378569,Budget 2018,2028,
Budget2018,2027-28,91,0.291,48932.2321958457,8.041,164186,171867,167933.628709199,Budget 2018,2028,
Budget2018,2027-28,92,0.294,51906.4528931751,8.53,171868,181177,176532.598293769,Budget 2018,2028,
Budget2018,2027-28,93,0.297,55364.5917686318,9.102,181178,192524,186585.433073786,Budget 2018,2028,
Budget2018,2027-28,94,0.3,59804.4302670623,9.828,192526,205854,199012.498145401,Budget 2018,2028,
Budget2018,2027-28,95,0.311,66720.709306637,10.968,205866,223406,214314.493511309,Budget 2018,2028,
Budget2018,2027-28,96,0.324,75696.1632047478,12.439,223409,244389,233416.533382789,Budget 2018,2028,
Budget2018,2027-28,97,0.338,86859.2600148368,14.274,244405,271460,257161.663204748,Budget 2018,2028,
Budget2018,2027-28,98,0.352,102235.224323322,16.807,271461,312210,289883.550241009,Budget 2018,2028,
Budget2018,2027-28,99,0.376,138109.040430267,22.696,312214,462889,366244.487759644,Budget 2018,2028,
Budget2018,2027-28,100,0.415,345688.047106825,56.808,462909,5079659,807954.5615727,Budget 2018,2028,
Current,2017-18,1,0,0,0,0,0,0,2017-18,2018,
Current,2017-18,2,0,0,0,0,104,14.700296735905,2017-18,2018,
Current,2017-18,3,0,0,0,104,553,340.145346681498,2017-18,2018,
Current,2017-18,4,0,0,0,553,1341,910.317507418398,2017-18,2018,
Current,2017-18,5,0,0,0,1341,2464,1878.35793768546,2017-18,2018,
Current,2017-18,6,0,0,0,2464,3779,3109.81275491287,2017-18,2018,
Current,2017-18,7,0,0,0,3780,5158,4465.23367952522,2017-18,2018,
Current,2017-18,8,0,0,0,5158,6460,5806.46199480905,2017-18,2018,
Current,2017-18,9,0,0,0,6461,7827,7152.35979228487,2017-18,2018,
Current,2017-18,10,0,0,0,7829,9130,8484.75816023739,2017-18,2018,
Current,2017-18,11,0,0,0,9130,10373,9763.78754171301,2017-18,2018,
Current,2017-18,12,0,0,0,10373,11520,10948.5296735905,2017-18,2018,
Current,2017-18,13,0,0,0,11520,12602,12055.1334816463,2017-18,2018,
Current,2017-18,14,0,0,0,12602,13635,13117.3568249258,2017-18,2018,
Current,2017-18,15,0,0,0,13635,14663,14156.1988130564,2017-18,2018,
Current,2017-18,16,0,0,0,14664,15656,15162.5357804968,2017-18,2018,
Current,2017-18,17,0,0,0,15656,16568,16106.1747032641,2017-18,2018,
Current,2017-18,18,0,0,0,16569,17466,17022.1861327401,2017-18,2018,
Current,2017-18,19,0,0,0,17466,18307,17887.6802670623,2017-18,2018,
Current,2017-18,20,0,0,0,18307,19089,18711.5697329377,2017-18,2018,
Current,2017-18,21,0,0,0,19090,19849,19476.879495736,2017-18,2018,
Current,2017-18,22,0,0.281539145569708,0,19850,20598,20215.9054154303,2017-18,2018,
Current,2017-18,23,0.003,70.0620291379265,0.01,20599,21378,20979.4766320475,2017-18,2018,
Current,2017-18,24,0.009,198.336641269359,0.028,21378,22150,21764.8409343715,2017-18,2018,
Current,2017-18,25,0.016,364.507268818587,0.051,22150,22883,22519.1758160237,2017-18,2018,
Current,2017-18,26,0.023,546.03809418296,0.077,22884,23618,23249.9184278828,2017-18,2018,
Current,2017-18,27,0.031,736.441546452021,0.103,23618,24448,24027.4681008902,2017-18,2018,
Current,2017-18,28,0.038,934.970856299769,0.131,24448,25317,24881.5511869436,2017-18,2018,
Current,2017-18,29,0.045,1158.36711838428,0.162,25317,26186,25737.8654060067,2017-18,2018,
Current,2017-18,30,0.053,1399.29995880424,0.196,26186,27057,26621.0727002967,2017-18,2018,
Current,2017-18,31,0.057,1579.4830673621,0.222,27057,27942,27500.2180200223,2017-18,2018,
Current,2017-18,32,0.062,1760.03089509239,0.247,27942,28841,28391.3086053413,2017-18,2018,
Current,2017-18,33,0.066,1930.86048769313,0.271,28841,29772,29301.6891691395,2017-18,2018,
Current,2017-18,34,0.07,2106.16814351386,0.295,29772,30697,30242.5313311086,2017-18,2018,
Current,2017-18,35,0.073,2266.86935665252,0.318,30697,31610,31146.6862017804,2017-18,2018,
Current,2017-18,36,0.077,2474.74218484433,0.347,31611,32547,32084.3641082685,2017-18,2018,
Current,2017-18,37,0.082,2708.97663279531,0.38,32547,33449,32996.7240356083,2017-18,2018,
Current,2017-18,38,0.085,2890.73424785486,0.405,33449,34366,33911.1457715134,2017-18,2018,
Current,2017-18,39,0.088,3048.69570434214,0.428,34366,35239,34793.3092324805,2017-18,2018,
Current,2017-18,40,0.092,3297.61711809247,0.462,35239,36114,35682.0986646884,2017-18,2018,
Current,2017-18,41,0.096,3525.16924241691,0.494,36114,36988,36545.784495549,2017-18,2018,
Current,2017-18,42,0.101,3799.6583985596,0.533,36988,37867,37434.0956618465,2017-18,2018,
Current,2017-18,43,0.108,4140.00500702552,0.58,37867,38745,38304.653189911,2017-18,2018,
Current,2017-18,44,0.115,4494.50513397835,0.63,38745,39663,39205.2250648869,2017-18,2018,
Current,2017-18,45,0.12,4817.51992553303,0.675,39663,40523,40101.2066023739,2017-18,2018,
Current,2017-18,46,0.126,5166.90679424375,0.724,40523,41374,40954.2826409496,2017-18,2018,
Current,2017-18,47,0.131,5500.30976162418,0.771,41374,42282,41830.141638858,2017-18,2018,
Current,2017-18,48,0.136,5835.03494804702,0.818,42283,43198,42745.303041543,2017-18,2018,
Current,2017-18,49,0.142,6177.08996828674,0.866,43198,44069,43630.9473489062,2017-18,2018,
Current,2017-18,50,0.146,6509.96531475358,0.913,44069,44968,44526.7848664688,2017-18,2018,2017-18
Current,2017-18,51,0.151,6848.7352967573,0.96,44969,45908,45438.1921364985,2017-18,2018,
Current,2017-18,52,0.155,7196.97332843514,1.009,45908,46853,46380.6903967371,2017-18,2018,
Current,2017-18,53,0.159,7542.64797564674,1.058,46853,47795,47320.518916914,2017-18,2018,
Current,2017-18,54,0.164,7897.40398374635,1.108,47796,48789,48285.773822766,2017-18,2018,
Current,2017-18,55,0.168,8271.40732547174,1.16,48789,49793,49293.7166172107,2017-18,2018,
Current,2017-18,56,0.172,8634.01693785127,1.211,49794,50793,50291.6735905045,2017-18,2018,
Current,2017-18,57,0.175,8992.58211688051,1.261,50793,51802,51290.8101594364,2017-18,2018,
Current,2017-18,58,0.179,9364.26446155625,1.313,51803,52854,52328.6416913947,2017-18,2018,
Current,2017-18,59,0.183,9746.3768502418,1.367,52854,53917,53386.7682610308,2017-18,2018,
Current,2017-18,60,0.186,10147.8269594409,1.423,53917,55073,54507.5307863502,2017-18,2018,
Current,2017-18,61,0.19,10560.5429819794,1.481,55073,56209,55640.6676557864,2017-18,2018,
Current,2017-18,62,0.193,10971.7668229479,1.539,56210,57376,56794.7812384131,2017-18,2018,
Current,2017-18,63,0.197,11395.6368421984,1.598,57377,58594,57977.6643175074,2017-18,2018,
Current,2017-18,64,0.2,11833.306843126,1.659,58594,59810,59192.5604599407,2017-18,2018,
Current,2017-18,65,0.203,12280.0132324474,1.722,59810,61039,60424.9488320356,2017-18,2018,
Current,2017-18,66,0.206,12732.6506138852,1.785,61039,62366,61687.7455489614,2017-18,2018,
